# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
179.9;-1.8482273756056004e-08
179.904;-1.9048598865492943e-08
179.90800000000002;-1.967520787750504e-08
179.912;-2.0347575029810658e-08
179.916;-2.105016077065795e-08
179.92000000000002;-2.1766701784374217e-08
179.924;-2.248051036935775e-08
179.928;-2.317477848429118e-08
179.93200000000002;-2.383288172415081e-08
179.936;-2.4438678503234087e-08
179.94;-2.4976799807608313e-08
179.94400000000002;-2.5432925032786597e-08
179.948;-2.5794039641757423e-08
179.952;-2.6048670660478677e-08
179.95600000000002;-2.6187096368440643e-08
179.96;-2.6201526935902205e-08
179.964;-2.6086253201137348e-08
179.96800000000002;-2.5837761264035187e-08
179.972;-2.545481108961754e-08
179.976;-2.4938477858923173e-08
179.98;-2.4292155367323815e-08
179.984;-2.3521521343474524e-08
179.988;-2.2634465137405644e-08
179.992;-2.164097879534097e-08
179.996;-2.055301309337839e-08
180.0;-1.938430063409995e-08
180.004;-1.815014861171875e-08
180.008;-1.6867204315188888e-08
180.012;-1.555319685801246e-08
180.016;-1.4226658992118826e-08
180.02;-1.2906633175753018e-08
180.024;-1.161236631716503e-08
180.028;-1.0362997803308546e-08
180.032;-9.177245542912543e-09
180.036;-8.073094804339036e-09
180.04;-7.067494609731489e-09
180.044;-6.176066358244008e-09
180.048;-5.412829193783738e-09
180.052;-4.789946408846673e-09
180.056;-4.317496888786172e-09
180.06;-4.0032752542535765e-09
180.064;-3.8526239584634505e-09
180.068;-3.8683001460406785e-09
180.072;-4.050379587871517e-09
180.076;-4.39619947860521e-09
180.08;-4.900341327741363e-09
180.084;-5.5546545995170314e-09
180.088;-6.348321169287084e-09
180.092;-7.267960073172796e-09
180.096;-8.297771441892192e-09
180.1;-9.419717937276337e-09
180.104;-1.061374145923614e-08
180.108;-1.1858012369790582e-08
180.112;-1.3129207996710149e-08
180.116;-1.440281673935568e-08
180.12;-1.5653463709779904e-08
180.124;-1.6855253508767837e-08
180.12800000000001;-1.7982125464102817e-08
180.132;-1.900821645097262e-08
180.136;-1.9908226275176984e-08
180.14000000000001;-2.0657780530805933e-08
180.144;-2.123378584647629e-08
180.148;-2.1614772508185952e-08
180.15200000000002;-2.1781219591500983e-08
180.156;-2.171585794926497e-08
180.16;-2.1403946680473977e-08
180.16400000000002;-2.0833519047621696e-08
180.168;-1.9995594209037344e-08
180.172;-1.8884351584047976e-08
180.17600000000002;-1.7497265165995673e-08
180.18;-1.583519563437278e-08
180.184;-1.3902438685203271e-08
180.18800000000002;-1.1706728590434275e-08
180.192;-9.259196604317994e-09
180.196;-6.5742844491391295e-09
180.20000000000002;-3.669613725653598e-09
180.204;-5.658126967376503e-10
180.208;2.713697522372602e-09
180.21200000000002;6.142954775370711e-09
180.216;9.69374256146179e-09
180.22;1.3335908018076034e-08
180.224;1.7037707155776965e-08
180.228;2.0766172930848688e-08
180.232;2.4487501419955134e-08
180.236;2.8167451104135628e-08
180.24;3.177175007981132e-08
180.244;3.526650589507556e-08
180.248;3.861861266199785e-08
180.252;4.179615012066501e-08
180.256;4.4768769427886705e-08
180.26;4.7508060611582706e-08
180.264;4.998789686854454e-08
180.268;5.2184751185275617e-08
180.272;5.407798112481755e-08
180.276;5.56500780418792e-08
180.28;5.688687745844678e-08
180.284;5.777772784592064e-08
180.288;5.831561561066208e-08
180.292;5.849724466009715e-08
180.296;5.832306952828403e-08
180.3;5.779728165488697e-08
180.304;5.6927749031431e-08
180.308;5.572591004509652e-08
180.312;5.420662295478246e-08
180.316;5.238797301852458e-08
180.32;5.0291039847704015e-08
180.324;4.793962808432086e-08
180.328;4.535996497594311e-08
180.332;4.25803688523779e-08
180.336;3.963089288293799e-08
180.34;3.6542948808445595e-08
