# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
96.788;-3.279882705159627e-07
96.792;-3.4039657225567923e-07
96.796;-3.5233672688207716e-07
96.8;-3.6378123132840585e-07
96.804;-3.747036732972618e-07
96.808;-3.850789296180834e-07
96.812;-3.94883351998571e-07
96.816;-4.0409493783711173e-07
96.82000000000001;-4.12693483997389e-07
96.824;-4.206607217081608e-07
96.828;-4.279804310365597e-07
96.83200000000001;-4.3463853368781013e-07
96.836;-4.406231632033071e-07
96.84;-4.4592471195774884e-07
96.84400000000001;-4.505358546895527e-07
96.848;-4.544515486321927e-07
96.852;-4.576690106424819e-07
96.85600000000001;-4.601876720404777e-07
96.86;-4.6200911218000334e-07
96.864;-4.6313697205451544e-07
96.868;-4.635768495061704e-07
96.872;-4.633361778429036e-07
96.876;-4.62424089875899e-07
96.88;-4.60851269565324e-07
96.884;-4.5862979360339267e-07
96.888;-4.5577296536902093e-07
96.892;-4.522951437564298e-07
96.896;-4.482115694104275e-07
96.9;-4.4353819089378425e-07
96.904;-4.382914932676121e-07
96.908;-4.324883314850927e-07
96.912;-4.261457708838381e-07
96.916;-4.192809369147649e-07
96.92;-4.119108760681213e-07
96.924;-4.0405242975325517e-07
96.928;-3.957221226611527e-07
96.932;-3.8693606689137895e-07
96.936;-3.7770988286173686e-07
96.94;-3.680586377438144e-07
96.944;-3.579968018848721e-07
96.94800000000001;-3.475382233905184e-07
96.952;-3.3669612075767886e-07
96.956;-3.2548309316769105e-07
96.96000000000001;-3.139111477791247e-07
96.964;-3.019917431030517e-07
96.968;-2.897358473036987e-07
96.97200000000001;-2.771540100481103e-07
96.976;-2.6425644633271114e-07
96.98;-2.5105313054517305e-07
96.98400000000001;-2.3755389887903521e-07
96.988;-2.2376855810791666e-07
96.992;-2.0970699864725e-07
96.996;-1.9537930978511508e-07
97.0;-1.8079589495032699e-07
97.004;-1.659675849053e-07
97.008;-1.5090574680275527e-07
97.012;-1.356223871279552e-07
97.016;-1.2013024666028775e-07
97.02;-1.04442885727704e-07
97.024;-8.857475819235237e-08
97.028;-7.254127279303054e-08
97.032;-5.6358840676734635e-08
97.036;-4.0044908174332975e-08
97.04;-2.3617974110694102e-08
97.044;-7.097591183801642e-09
97.048;9.495648803308178e-09
97.052;2.614014582333826e-08
97.056;4.281333833571013e-08
97.06;5.94917653033302e-08
97.06400000000001;7.615114275873343e-08
97.068;9.276645394445651e-08
97.072;1.0931205185022983e-07
97.07600000000001;1.2576177278670465e-07
97.08;1.420890594745627e-07
97.084;1.582670919912381e-07
97.08800000000001;1.7426892480698991e-07
97.092;1.9006762805915586e-07
97.096;2.056364311591354e-07
97.10000000000001;2.2094886680157686e-07
97.104;2.3597891344955125e-07
97.108;2.507011344028681e-07
97.11200000000001;2.650908116184277e-07
97.116;2.791240725404424e-07
97.12;2.9277800831296007e-07
97.124;3.0603078188547265e-07
97.128;3.188617246822088e-07
97.132;3.3125142068445823e-07
97.136;3.4318177697008546e-07
97.14;3.5463607996224247e-07
97.144;3.6559903685694396e-07
97.148;3.760568019232678e-07
97.152;3.859969875970883e-07
97.156;3.9540866051597015e-07
97.16;4.042823228657576e-07
97.164;4.126098796251401e-07
97.168;4.2038459249986563e-07
97.172;4.276010215302823e-07
97.176;4.3425495553171486e-07
97.18;4.4034333268427366e-07
97.184;4.45864152724818e-07
97.188;4.5081638230701944e-07
97.19200000000001;4.551998551842377e-07
97.196;4.5901516893304426e-07
97.2;4.6226357997189796e-07
97.20400000000001;4.6494689863930226e-07
97.208;4.670673860787476e-07
97.212;4.686276546342736e-07
97.21600000000001;4.6963057339135756e-07
97.22;4.700791804042136e-07
97.224;4.699766030340156e-07
97.22800000000001;4.693259876848469e-07
97.232;4.681304400675389e-07
97.236;4.663929769483736e-07
97.24000000000001;4.641164901525547e-07
97.244;4.6130372339426095e-07
97.248;4.57957262298935e-07
97.252;4.5407953777236404e-07
97.256;4.4967284265818114e-07
97.26;4.4473936141384157e-07
97.264;4.3928121232800647e-07
97.268;4.333005016026393e-07
97.272;4.26799388433882e-07
97.276;4.19780160049686e-07
97.28;4.122453155017354e-07
97.284;4.0419765686672186e-07
97.288;3.956403863895182e-07
97.292;3.865772079999568e-07
97.296;3.7701243155715455e-07
97.3;3.669510781216587e-07
97.304;3.563989845268312e-07
97.308;3.4536290551715413e-07
97.312;3.338506117424937e-07
97.316;3.21870981943419e-07
97.32000000000001;3.0943408773265755e-07
97.324;2.9655126947062293e-07
97.328;2.832352018472427e-07
97.33200000000001;2.694999479163412e-07
97.336;2.5536100048061624e-07
97.34;2.4083530989257665e-07
97.34400000000001;2.2594129751723624e-07
97.348;2.10698854293317e-07
97.352;1.9512932402844631e-07
97.35600000000001;1.7925547126754853e-07
97.36;1.6310143377943335e-07
97.364;1.4669265991161525e-07
97.368;1.3005583126480397e-07
97.372;1.1321877133351059e-07
97.376;9.621034094515931e-08
97.38;7.906032150446191e-08
97.384;6.179928721027312e-08
97.388;4.4458467556572254e-08
97.392;2.7069601555741227e-08
97.396;9.66478522931323e-09
97.4;-7.72368600247901e-09
97.404;-2.5063478336738525e-08
97.408;-4.2322382272210696e-08
97.412;-5.9468475205826044e-08
97.416;-7.647028218978039e-08
97.42;-9.32969331245908e-08
97.424;-1.0991831471295559e-07
97.428;-1.2630521557002448e-07
97.432;-1.4242946297671585e-07
97.436;-1.582640498725835e-07
97.44;-1.7378325081179997e-07
97.444;-1.8896272574820655e-07
97.44800000000001;-2.03779610671041e-07
97.452;-2.182125942796719e-07
97.456;-2.3224198006112505e-07
97.46000000000001;-2.4584973331593983e-07
97.464;-2.5901951286349194e-07
97.468;-2.7173668734484016e-07
97.47200000000001;-2.8398833622694383e-07
97.476;-2.957632357943089e-07
97.48;-3.0705183059041506e-07
97.48400000000001;-3.178461909394217e-07
97.488;-3.2813995733655586e-07
97.492;-3.379282726413332e-07
97.496;-3.472077031396358e-07
97.5;-3.559761496571405e-07
97.504;-3.6423275000640875e-07
97.508;-3.719777741320477e-07
97.512;-3.7921251338198817e-07
97.516;-3.859391653775567e-07
97.52;-3.921607159804088e-07
97.524;-3.978808198605481e-07
97.528;-4.031036811568439e-07
97.532;-4.078339356902002e-07
97.536;-4.120765361405719e-07
97.54;-4.158366415333489e-07
97.544;-4.191195122994023e-07
97.548;-4.21930412077688e-07
97.552;-4.2427451732123137e-07
97.556;-4.261568356482476e-07
97.56;-4.2758213375183537e-07
97.56400000000001;-4.28554875545983e-07
97.568;-4.2907917108443027e-07
97.572;-4.291587366441873e-07
97.57600000000001;-4.2879686621914144e-07
97.58;-4.2799641452310117e-07
97.584;-4.26759791457676e-07
97.58800000000001;-4.2508896786036325e-07
97.592;-4.2298549221377614e-07
97.596;-4.204505178696644e-07
97.60000000000001;-4.174848402226753e-07
97.604;-4.140889431599414e-07
97.608;-4.1026305401466816e-07
97.61200000000001;-4.060072061658498e-07
97.616;-4.0132130835281223e-07
97.62;-3.962052197130044e-07
97.624;-3.906588295047126e-07
97.628;-3.846821404433022e-07
97.632;-3.7827535456020377e-07
97.636;-3.7143896048793876e-07
97.64;-3.64173821081664e-07
97.644;-3.564812603074868e-07
97.648;-3.483631483594589e-07
97.652;-3.3982198400992943e-07
97.656;-3.308609732508692e-07
97.66;-3.2148410334586626e-07
97.664;-3.116962114826365e-07
97.668;-3.0150304729292155e-07
97.672;-2.909113285893583e-07
97.676;-2.7992878975608664e-07
97.68;-2.6856422232025377e-07
97.684;-2.5682750732398646e-07
97.688;-2.4472963920963034e-07
97.69200000000001;-2.3228274102395862e-07
97.696;-2.1950007083855729e-07
97.7;-2.0639601937267743e-07
97.70400000000001;-1.9298609889060159e-07
97.708;-1.7928692352715177e-07
97.712;-1.6531618127165982e-07
97.71600000000001;-1.5109259791188474e-07
97.72;-1.3663589330450405e-07
97.724;-1.2196673039750687e-07
97.72800000000001;-1.0710665748179567e-07
97.732;-9.207804419437258e-08
97.736;-7.690401183357138e-08
97.74000000000001;-6.160835857790674e-08
97.744;-4.621548022437685e-08
97.748;-3.075028707964551e-08
97.752;-1.523811764873639e-08
97.756;2.9535022899043574e-10
97.76;1.5824190147350564e-08
97.764;3.132231916089173e-08
97.768;4.676359043964015e-08
97.772;6.212188593307626e-08
97.776;7.737120844411298e-08
97.78;9.24857725359228e-08
97.784;1.074400937194031e-07
97.788;1.2220907539643068e-07
97.792;1.367680930634009e-07
97.796;1.5109307531048606e-07
97.8;1.6516058118421905e-07
97.804;1.789478735141058e-07
97.808;1.924329878377176e-07
97.812;2.0559479659289184e-07
97.816;2.18413068280107e-07
97.82000000000001;2.3086852133265052e-07
97.824;2.4294287246679273e-07
97.828;2.546188793187492e-07
97.83200000000001;2.658803772097558e-07
97.836;2.76712309915089e-07
97.84;2.871007543473864e-07
